user_id,recency_days,frequency,monetary_value,total_events,view_count,cart_count,cart_abandonment_rate,avg_session_duration,purchase_recency_days,churned,churn_probability,risk_level,segment
U00039,26,0,0.0,14,14,0,1.0,11.61,56,0,0.0003,Low,Casual Browsers
U00040,22,29,4465.86,106,17,60,0.5166666666666666,6.39,22,0,0.0002,Low,High-Value Loyalists
U00041,36,10,741.62,42,20,12,0.1666666666666666,8.23,36,1,0.9992,High,Churned
U00042,14,0,0.0,5,5,0,1.0,10.1,44,0,0.0002,Low,Casual Browsers
U00043,100,0,0.0,10,10,0,1.0,9.49,130,1,0.9998,High,Churned
U00044,13,8,335.98,52,26,18,0.5555555555555556,8.98,13,0,0.0002,Low,At-Risk Spenders
U00045,4,1,6.31,13,12,0,1.0,8.38,128,0,0.0008,Low,Casual Browsers
U00046,26,13,855.24,68,43,12,0.0,8.82,52,0,0.0008,Low,At-Risk Spenders
U00047,27,0,0.0,13,12,1,1.0,14.4,57,0,0.0003,Low,Casual Browsers
U00048,1,0,0.0,10,10,0,1.0,5.81,31,0,0.0002,Low,Casual Browsers
U00049,13,0,0.0,11,10,1,1.0,7.13,43,0,0.0002,Low,Casual Browsers
U00050,1,25,4989.82,83,13,45,0.4444444444444444,7.99,2,0,0.0002,Low,High-Value Loyalists
U00051,15,0,0.0,24,22,2,1.0,7.9,45,0,0.0002,Low,Casual Browsers
U00052,3,2,53.11,13,11,0,1.0,7.21,82,0,0.0007,Low,Casual Browsers
U00053,19,0,0.0,13,13,0,1.0,6.05,49,0,0.0002,Low,Casual Browsers
U00054,9,27,3708.32,94,14,53,0.490566037735849,8.52,9,0,0.0002,Low,High-Value Loyalists
U00055,22,0,0.0,3,3,0,1.0,4.9,52,0,0.0002,Low,Casual Browsers
U00056,16,22,3592.53,100,18,60,0.6333333333333333,8.0,25,0,0.0002,Low,High-Value Loyalists
U00057,56,0,0.0,3,3,0,1.0,14.4,86,1,0.9998,High,Churned
U00058,21,10,606.38,46,25,11,0.0909090909090909,6.48,28,0,0.0002,Low,At-Risk Spenders
U00059,117,14,980.35,66,34,18,0.2222222222222222,8.43,120,1,0.9997,High,Churned
U00060,1,1,30.48,15,12,2,0.5,11.03,129,0,0.0008,Low,At-Risk Spenders
U00061,14,0,0.0,10,10,0,1.0,10.78,44,0,0.0002,Low,Casual Browsers
U00062,26,2,81.84,15,9,4,0.5,9.05,54,0,0.0005,Low,At-Risk Spenders
U00063,12,0,0.0,4,4,0,1.0,13.85,42,0,0.0002,Low,Casual Browsers
U00064,16,0,0.0,5,5,0,1.0,3.0,46,0,0.0002,Low,Casual Browsers
U00065,26,3,212.74,30,13,14,0.7857142857142857,5.93,55,0,0.0006,Low,Casual Browsers
U00066,10,1,31.34,13,11,1,0.0,11.25,110,0,0.0008,Low,At-Risk Spenders
U00067,31,0,0.0,11,10,1,1.0,7.84,61,1,0.9996,High,Churned
U00068,15,3,73.07,13,8,2,0.0,6.76,30,0,0.0002,Low,At-Risk Spenders
U00069,76,6,398.82,62,33,23,0.7391304347826086,9.11,84,1,0.9997,High,Churned
U00070,3,6,341.66,31,14,11,0.4545454545454546,6.4,11,0,0.0002,Low,At-Risk Spenders
U00071,15,32,4535.3,114,12,70,0.5428571428571429,6.57,16,0,0.0002,Low,High-Value Loyalists
U00072,11,62,8968.05,197,28,107,0.4205607476635514,8.11,17,0,0.0002,Low,High-Value Loyalists
U00073,105,0,0.0,11,11,0,1.0,5.72,135,1,0.9998,High,Churned
U00074,29,0,0.0,11,11,0,1.0,7.32,59,0,0.0003,Low,Casual Browsers
U00075,20,1,9.24,13,12,0,1.0,10.56,146,0,0.0008,Low,Casual Browsers
U00076,7,0,0.0,8,8,0,1.0,7.5,37,0,0.0002,Low,Casual Browsers
U00077,6,19,1889.15,61,27,15,0.0,9.71,9,0,0.0002,Low,At-Risk Spenders
U00078,114,13,772.69,77,41,23,0.4347826086956522,8.16,119,1,0.9998,High,Churned
U00079,9,0,0.0,17,17,0,1.0,6.87,39,0,0.0002,Low,Casual Browsers
U00080,69,1,13.14,25,21,3,0.6666666666666667,6.21,157,1,0.9995,High,Churned
U00081,28,0,0.0,3,2,1,1.0,6.97,58,0,0.0003,Low,Casual Browsers
U00082,13,6,514.65,67,43,18,0.6666666666666667,8.32,43,0,0.0004,Low,At-Risk Spenders
U00083,18,1,29.51,5,4,0,1.0,5.92,168,0,0.0008,Low,Casual Browsers
U00084,40,9,558.18,48,21,18,0.5,8.67,44,1,0.9993,High,Churned
U00085,6,14,855.12,53,25,14,0.0,7.95,16,0,0.0002,Low,At-Risk Spenders
U00086,4,15,1071.03,63,34,14,0.0,8.43,4,0,0.0002,Low,At-Risk Spenders
U00087,1,12,822.15,75,37,26,0.5384615384615384,7.14,97,0,0.0015,Low,At-Risk Spenders
U00088,22,0,0.0,5,5,0,1.0,4.56,52,0,0.0002,Low,Casual Browsers
U00089,29,1,13.98,8,7,0,1.0,4.9,69,0,0.0005,Low,Casual Browsers
U00090,0,7,611.21,59,32,20,0.65,8.31,47,0,0.0004,Low,At-Risk Spenders
U00091,67,19,730.85,67,29,19,0.0,7.96,80,1,0.9998,High,Churned
U00092,13,2,35.76,17,13,2,0.0,5.46,103,0,0.0007,Low,At-Risk Spenders
U00093,22,4,157.56,28,19,5,0.1999999999999999,7.32,73,0,0.001,Low,At-Risk Spenders
U00094,12,0,0.0,7,7,0,1.0,7.19,42,0,0.0002,Low,Casual Browsers
U00095,27,2,73.41,18,14,2,0.0,8.44,41,0,0.0003,Low,At-Risk Spenders
U00096,2,1,30.86,17,15,1,0.0,12.26,137,0,0.0008,Low,At-Risk Spenders
U00097,2,12,836.64,79,39,28,0.5714285714285714,6.74,7,0,0.0002,Low,At-Risk Spenders
U00098,23,1,12.41,14,12,1,0.0,8.22,111,0,0.0008,Low,At-Risk Spenders
U00099,43,10,795.01,58,37,11,0.0909090909090909,8.4,51,1,0.9995,High,Churned
U00100,42,44,6048.05,139,15,80,0.4499999999999999,7.82,45,1,0.9995,High,Churned
U00101,50,9,448.68,45,26,10,0.0999999999999999,7.13,50,1,0.9994,High,Churned
U00102,16,0,0.0,11,11,0,1.0,8.27,46,0,0.0002,Low,Casual Browsers
U00103,15,1,17.81,4,3,0,1.0,8.72,104,0,0.0007,Low,Casual Browsers
U00104,9,14,964.46,63,21,28,0.5,7.88,9,0,0.0002,Low,At-Risk Spenders
U00105,19,45,5782.89,186,40,101,0.5544554455445545,6.25,21,0,0.0002,Low,High-Value Loyalists
U00106,3,21,1471.37,77,33,23,0.0869565217391304,7.64,3,0,0.0002,Low,At-Risk Spenders
U00107,0,11,693.44,63,31,21,0.4761904761904761,7.49,0,0,0.0002,Low,At-Risk Spenders
U00108,2,15,783.73,65,31,19,0.2105263157894736,6.68,4,0,0.0002,Low,At-Risk Spenders
U00109,29,0,0.0,10,9,1,1.0,6.79,59,0,0.0003,Low,Casual Browsers
U00110,88,1,91.75,10,6,3,0.6666666666666667,7.6,172,1,0.9995,High,Churned
U00111,2,0,0.0,6,6,0,1.0,4.92,32,0,0.0002,Low,Casual Browsers
U00112,8,0,0.0,6,6,0,1.0,5.88,38,0,0.0002,Low,Casual Browsers
U00113,1,0,0.0,4,3,1,1.0,6.05,31,0,0.0002,Low,Casual Browsers
U00114,9,0,0.0,14,12,2,1.0,7.0,39,0,0.0002,Low,Casual Browsers
U00115,7,0,0.0,5,5,0,1.0,8.88,37,0,0.0002,Low,Casual Browsers
U00116,0,0,0.0,25,23,2,1.0,8.58,30,0,0.0002,Low,Casual Browsers
U00117,1,0,0.0,13,13,0,1.0,6.82,31,0,0.0002,Low,Casual Browsers
U00118,4,0,0.0,3,3,0,1.0,5.77,34,0,0.0002,Low,Casual Browsers
U00119,26,2,128.09,29,22,5,0.6,8.35,31,0,0.0003,Low,At-Risk Spenders
U00120,4,0,0.0,5,5,0,1.0,7.52,34,0,0.0002,Low,Casual Browsers
U00121,19,1,26.65,10,6,3,0.6666666666666667,6.18,147,0,0.0008,Low,Casual Browsers
U00122,17,0,0.0,7,7,0,1.0,6.81,47,0,0.0002,Low,Casual Browsers
U00123,7,0,0.0,9,7,2,1.0,8.77,37,0,0.0002,Low,Casual Browsers
U00124,59,1,27.01,12,11,0,1.0,7.48,177,1,0.9994,High,Churned
U00125,18,3,135.36,21,13,5,0.4,6.04,18,0,0.0002,Low,At-Risk Spenders
U00126,27,0,0.0,14,14,0,1.0,6.09,57,0,0.0003,Low,Casual Browsers
U00127,22,0,0.0,12,12,0,1.0,12.25,52,0,0.0002,Low,Casual Browsers
U00128,15,0,0.0,20,18,2,1.0,8.98,45,0,0.0002,Low,Casual Browsers
U00129,107,0,0.0,9,8,1,1.0,10.44,137,1,0.9998,High,Churned
U00130,11,2,43.54,19,11,6,0.6666666666666667,4.42,68,0,0.0006,Low,Casual Browsers
U00131,10,31,4445.32,109,17,61,0.4918032786885246,6.74,10,0,0.0002,Low,High-Value Loyalists
U00132,24,6,416.62,41,17,18,0.6666666666666667,9.17,29,0,0.0002,Low,At-Risk Spenders
U00133,77,8,426.83,39,20,11,0.2727272727272727,7.03,96,1,0.9997,High,Churned
U00134,13,1,7.51,9,8,0,1.0,6.32,108,0,0.0008,Low,Casual Browsers
U00135,13,10,442.21,58,38,10,0.0,10.41,33,0,0.0004,Low,At-Risk Spenders
U00136,8,0,0.0,4,4,0,1.0,4.52,38,0,0.0002,Low,Casual Browsers
U00137,23,4,131.06,28,21,3,0.0,7.89,27,0,0.0002,Low,At-Risk Spenders
U00138,20,10,527.0,67,31,26,0.6153846153846154,9.04,54,0,0.0008,Low,At-Risk Spenders
U00139,14,1,24.19,24,17,6,0.8333333333333334,7.03,39,0,0.0004,Low,Casual Browsers
U00140,2,2,75.17,15,11,2,0.0,8.47,107,0,0.0008,Low,At-Risk Spenders
U00141,3,6,370.68,38,19,13,0.5384615384615384,9.09,6,0,0.0002,Low,At-Risk Spenders
U00142,2,49,7076.37,171,23,99,0.505050505050505,7.87,7,0,0.0002,Low,High-Value Loyalists
U00143,15,0,0.0,8,8,0,1.0,8.78,45,0,0.0002,Low,Casual Browsers
U00144,25,30,5032.78,89,7,52,0.4230769230769231,8.39,29,0,0.0002,Low,High-Value Loyalists
U00145,2,0,0.0,14,12,2,1.0,13.24,32,0,0.0002,Low,Casual Browsers
U00146,41,2,58.66,14,8,4,0.5,6.55,125,1,0.9995,High,Churned
U00147,21,8,391.33,43,19,16,0.5,6.74,32,0,0.0003,Low,At-Risk Spenders
U00148,20,60,8667.32,196,28,108,0.4444444444444444,7.6,20,0,0.0002,Low,High-Value Loyalists
U00149,115,0,0.0,10,10,0,1.0,12.78,145,1,0.9998,High,Churned
U00150,29,4,217.04,17,11,2,0.0,11.17,29,0,0.0002,Low,At-Risk Spenders
U00151,5,0,0.0,4,4,0,1.0,1.42,35,0,0.0002,Low,Casual Browsers
U00152,26,11,643.17,73,33,29,0.6206896551724138,9.17,29,0,0.0002,Low,At-Risk Spenders
U00153,37,1,15.74,11,7,3,0.6666666666666667,5.87,152,1,0.9995,High,Churned
U00154,13,0,0.0,19,15,4,1.0,6.13,43,0,0.0002,Low,Casual Browsers
U00155,2,4,232.09,37,21,12,0.6666666666666667,7.46,10,0,0.0002,Low,Casual Browsers
U00156,15,2,107.55,26,21,3,0.3333333333333333,9.46,15,0,0.0002,Low,At-Risk Spenders
U00157,18,12,722.49,40,19,9,0.0,7.96,19,0,0.0002,Low,At-Risk Spenders
U00158,3,0,0.0,11,10,1,1.0,8.2,33,0,0.0002,Low,Casual Browsers
U00159,2,5,470.03,49,24,20,0.75,10.67,79,0,0.0012,Low,Casual Browsers
U00160,23,1,25.32,12,11,0,1.0,6.12,160,0,0.0008,Low,Casual Browsers
U00161,23,3,347.94,54,22,29,0.896551724137931,9.43,93,0,0.001,Low,Casual Browsers
U00162,27,2,65.84,17,12,3,0.3333333333333333,6.37,34,0,0.0003,Low,At-Risk Spenders
U00163,2,0,0.0,12,12,0,1.0,6.86,32,0,0.0002,Low,Casual Browsers
U00164,26,1,10.4,14,13,0,1.0,8.88,146,0,0.0008,Low,Casual Browsers
U00165,36,14,652.91,71,36,21,0.3333333333333333,7.55,39,1,0.9993,High,Churned
U00166,13,3,74.26,27,23,1,0.0,7.69,40,0,0.0004,Low,At-Risk Spenders
U00167,9,13,886.21,76,42,21,0.3809523809523809,8.92,35,0,0.0005,Low,At-Risk Spenders
U00168,2,3,175.01,22,15,4,0.25,9.26,8,0,0.0002,Low,At-Risk Spenders
U00169,45,9,645.44,34,10,15,0.4,7.87,59,1,0.9996,High,Churned
U00170,4,13,824.53,67,33,21,0.3809523809523809,8.78,4,0,0.0002,Low,At-Risk Spenders
U00171,14,4,110.12,11,6,1,0.0,6.61,18,0,0.0002,Low,At-Risk Spenders
U00172,39,8,590.72,31,18,5,0.0,8.37,110,1,0.9998,High,Churned
U00173,23,0,0.0,12,12,0,1.0,6.35,53,0,0.0002,Low,Casual Browsers
U00174,8,1,13.88,23,16,6,0.8333333333333334,8.93,77,0,0.0007,Low,Casual Browsers
U00175,1,3,139.91,25,20,2,0.0,5.44,24,0,0.0002,Low,At-Risk Spenders
U00176,0,2,57.92,26,23,1,0.0,7.35,31,0,0.0003,Low,At-Risk Spenders
U00177,26,2,34.24,26,18,6,0.6666666666666667,10.12,135,0,0.0008,Low,Casual Browsers
U00178,3,4,146.56,47,26,17,0.7647058823529411,7.4,15,0,0.0002,Low,Casual Browsers
U00179,11,3,89.37,19,13,3,0.0,10.34,51,0,0.0004,Low,At-Risk Spenders
U00180,102,0,0.0,24,16,8,1.0,10.02,132,1,0.9998,High,Churned
U00181,21,33,4840.32,96,16,47,0.2978723404255319,9.28,21,0,0.0002,Low,High-Value Loyalists
U00182,115,0,0.0,13,13,0,1.0,6.65,145,1,0.9998,High,Churned
U00183,29,1,35.51,12,10,1,0.0,9.2,29,0,0.0002,Low,At-Risk Spenders
U00184,25,17,1091.05,75,38,20,0.15,8.61,25,0,0.0002,Low,At-Risk Spenders
U00185,17,3,262.4,24,17,4,0.25,9.61,35,0,0.0003,Low,At-Risk Spenders
U00186,20,1,28.84,11,9,1,0.0,9.42,135,0,0.0008,Low,At-Risk Spenders
U00187,13,2,85.66,32,16,14,0.8571428571428572,8.7,35,0,0.0004,Low,Casual Browsers
U00188,3,37,5007.47,101,9,55,0.3272727272727272,8.06,3,0,0.0002,Low,High-Value Loyalists
U00189,13,14,766.57,77,37,26,0.4615384615384615,7.63,13,0,0.0002,Low,At-Risk Spenders
U00190,27,15,992.76,70,33,22,0.3181818181818182,8.5,28,0,0.0002,Low,At-Risk Spenders
U00191,35,9,554.81,59,32,18,0.5,8.45,40,1,0.9992,High,Churned
U00192,28,0,0.0,13,13,0,1.0,6.43,58,0,0.0003,Low,Casual Browsers
U00193,13,0,0.0,9,9,0,1.0,7.89,43,0,0.0002,Low,Casual Browsers
U00194,16,0,0.0,11,10,1,1.0,6.9,46,0,0.0002,Low,Casual Browsers
U00195,21,0,0.0,12,12,0,1.0,7.36,51,0,0.0002,Low,Casual Browsers
U00196,5,4,265.36,59,28,27,0.8518518518518519,7.09,22,0,0.0002,Low,Casual Browsers
U00197,14,1,48.93,24,20,3,0.6666666666666667,9.05,109,0,0.0008,Low,Casual Browsers
U00198,17,3,262.71,48,26,19,0.8421052631578947,8.44,41,0,0.0004,Low,Casual Browsers
U00199,19,63,8310.82,185,24,98,0.3571428571428571,7.87,19,0,0.0002,Low,High-Value Loyalists
U00200,9,1,73.5,16,13,2,0.5,8.92,73,0,0.0005,Low,At-Risk Spenders
U00201,19,6,166.43,21,15,0,1.0,9.67,23,0,0.0002,Low,Casual Browsers
U00202,67,7,372.7,51,21,23,0.6956521739130435,7.83,76,1,0.9997,High,Churned
U00203,8,0,0.0,16,16,0,1.0,6.44,38,0,0.0002,Low,Casual Browsers
U00204,16,9,706.07,77,47,21,0.5714285714285714,6.15,18,0,0.0002,Low,At-Risk Spenders
U00205,28,30,4282.28,99,14,55,0.4545454545454546,8.48,37,0,0.0006,Low,High-Value Loyalists
U00206,102,0,0.0,9,9,0,1.0,7.68,132,1,0.9998,High,Churned
U00207,88,8,359.74,38,22,8,0.0,6.83,93,1,0.9997,High,Churned
U00208,21,3,142.8,29,19,7,0.5714285714285714,8.67,47,0,0.0005,Low,At-Risk Spenders
U00209,66,14,802.98,76,37,25,0.4399999999999999,6.01,72,1,0.9998,High,Churned
U00210,1,34,4507.55,116,20,62,0.4516129032258065,7.57,1,0,0.0002,Low,High-Value Loyalists
U00211,17,10,535.44,74,36,28,0.6428571428571428,6.95,17,0,0.0002,Low,At-Risk Spenders
U00212,15,5,197.68,25,14,6,0.1666666666666666,6.94,15,0,0.0002,Low,At-Risk Spenders
U00213,14,4,292.06,37,22,11,0.6363636363636364,8.84,54,0,0.0006,Low,At-Risk Spenders
U00214,22,1,49.84,18,15,2,0.5,7.52,148,0,0.0008,Low,At-Risk Spenders
U00215,17,1,96.46,20,16,3,0.6666666666666667,9.14,50,0,0.0004,Low,Casual Browsers
U00216,25,1,43.05,17,13,3,0.6666666666666667,5.58,111,0,0.0008,Low,Casual Browsers
U00217,25,38,5903.24,118,12,68,0.4411764705882353,6.98,25,0,0.0002,Low,High-Value Loyalists
U00218,16,2,67.42,29,23,4,0.5,7.95,122,0,0.0008,Low,At-Risk Spenders
U00219,26,2,66.78,30,17,11,0.8181818181818181,9.2,154,0,0.0008,Low,Casual Browsers
U00220,29,0,0.0,8,8,0,1.0,4.45,59,0,0.0002,Low,Casual Browsers
U00221,22,7,344.41,36,18,11,0.3636363636363636,7.57,40,0,0.0005,Low,At-Risk Spenders
U00222,20,0,0.0,12,12,0,1.0,11.78,50,0,0.0002,Low,Casual Browsers
U00223,35,30,4312.93,97,15,52,0.4230769230769231,7.29,35,1,0.9994,High,Churned
U00224,27,57,7864.66,152,20,75,0.24,8.11,27,0,0.0002,Low,High-Value Loyalists
U00225,0,9,541.38,60,31,20,0.55,8.12,92,0,0.0015,Low,At-Risk Spenders
U00226,26,0,0.0,26,18,8,1.0,9.05,56,0,0.0003,Low,Casual Browsers
U00227,8,1,8.97,8,7,0,1.0,9.91,172,0,0.0007,Low,Casual Browsers
U00228,11,9,734.6,57,30,18,0.5,8.01,12,0,0.0002,Low,At-Risk Spenders
U00229,27,0,0.0,3,3,0,1.0,2.83,57,0,0.0002,Low,Casual Browsers
U00230,29,0,0.0,9,9,0,1.0,13.94,59,0,0.0003,Low,Casual Browsers
U00231,17,2,41.82,26,19,5,0.6,6.05,21,0,0.0002,Low,Casual Browsers
U00232,8,11,685.79,61,31,19,0.4210526315789473,10.11,24,0,0.0002,Low,At-Risk Spenders
U00233,17,1,11.67,15,12,2,0.5,7.39,177,0,0.0006,Low,At-Risk Spenders
U00234,24,0,0.0,13,12,1,1.0,9.78,54,0,0.0003,Low,Casual Browsers
U00235,2,11,602.79,59,28,20,0.4499999999999999,7.97,41,0,0.0005,Low,At-Risk Spenders
U00236,18,8,512.29,35,15,12,0.3333333333333333,9.51,66,0,0.0013,Low,At-Risk Spenders
U00237,14,11,615.34,71,36,24,0.5416666666666667,7.17,17,0,0.0002,Low,At-Risk Spenders
U00238,47,1,11.62,12,10,1,0.0,5.76,47,1,0.9989,High,Churned
U00239,22,18,1349.48,78,35,25,0.28,9.32,36,0,0.0006,Low,At-Risk Spenders
U00240,19,14,970.54,52,27,11,0.0,7.96,28,0,0.0002,Low,At-Risk Spenders
U00241,28,9,463.47,49,24,16,0.4375,8.38,30,0,0.0002,Low,At-Risk Spenders
U00242,24,0,0.0,9,8,1,1.0,6.76,54,0,0.0002,Low,Casual Browsers
U00243,21,13,854.56,61,31,17,0.2352941176470588,8.45,24,0,0.0002,Low,At-Risk Spenders
U00244,1,2,89.74,26,22,2,0.0,7.8,88,0,0.0008,Low,At-Risk Spenders
U00245,48,11,877.06,62,28,23,0.5217391304347826,8.23,60,1,0.9997,High,Churned
U00246,16,0,0.0,4,4,0,1.0,3.78,46,0,0.0002,Low,Casual Browsers
U00247,19,0,0.0,8,8,0,1.0,3.88,49,0,0.0002,Low,Casual Browsers
U00248,6,53,8037.23,181,38,90,0.4111111111111111,8.22,17,0,0.0002,Low,High-Value Loyalists
U00249,29,14,961.36,73,32,27,0.4814814814814815,7.78,34,0,0.0005,Low,At-Risk Spenders
U00250,20,5,494.13,32,11,16,0.6875,9.36,55,0,0.0007,Low,Casual Browsers
U00251,11,0,0.0,11,11,0,1.0,8.33,41,0,0.0002,Low,Casual Browsers
U00252,5,14,874.52,60,32,14,0.0,6.83,5,0,0.0002,Low,At-Risk Spenders
U00253,7,39,5627.49,128,19,70,0.4428571428571428,8.51,7,0,0.0002,Low,High-Value Loyalists
U00254,18,2,33.51,18,14,2,0.0,7.45,126,0,0.0008,Low,At-Risk Spenders
U00255,12,12,625.13,51,22,17,0.2941176470588235,8.78,36,0,0.0005,Low,At-Risk Spenders
U00256,17,2,68.5,21,18,1,0.0,10.29,17,0,0.0002,Low,At-Risk Spenders
U00257,6,8,455.54,50,26,16,0.5,5.78,6,0,0.0002,Low,At-Risk Spenders
U00258,3,12,684.11,56,29,15,0.1999999999999999,7.5,3,0,0.0002,Low,At-Risk Spenders
U00259,7,1,12.8,18,15,2,0.5,8.89,56,0,0.0005,Low,At-Risk Spenders
U00260,41,0,0.0,4,4,0,1.0,11.18,71,1,0.9998,High,Churned
U00261,19,0,0.0,8,8,0,1.0,11.38,49,0,0.0002,Low,Casual Browsers
U00262,21,46,6262.85,176,29,101,0.5445544554455446,7.51,21,0,0.0002,Low,High-Value Loyalists
U00263,97,10,527.73,37,17,10,0.0,11.26,108,1,0.9998,High,Churned
U00264,29,29,4619.77,90,18,43,0.3255813953488372,8.95,31,0,0.0004,Low,High-Value Loyalists
U00265,0,11,483.43,66,38,17,0.3529411764705882,6.7,2,0,0.0002,Low,At-Risk Spenders
U00266,12,12,746.96,50,28,10,0.0,9.2,12,0,0.0002,Low,At-Risk Spenders
U00267,3,0,0.0,23,21,2,1.0,6.13,33,0,0.0002,Low,Casual Browsers
U00268,21,4,147.79,26,18,4,0.0,9.63,39,0,0.0003,Low,At-Risk Spenders
U00269,19,3,50.07,19,15,1,0.0,11.18,19,0,0.0002,Low,At-Risk Spenders
U00270,7,0,0.0,20,17,3,1.0,7.06,37,0,0.0002,Low,Casual Browsers
U00271,24,60,8048.71,179,31,88,0.3181818181818182,8.47,31,0,0.0003,Low,High-Value Loyalists
U00272,11,0,0.0,3,3,0,1.0,2.2,41,0,0.0002,Low,Casual Browsers
U00273,27,1,16.44,18,15,2,0.5,11.11,140,0,0.0008,Low,At-Risk Spenders
U00274,18,15,949.54,71,35,21,0.2857142857142857,7.05,47,0,0.0007,Low,At-Risk Spenders
U00275,9,3,100.35,26,19,4,0.25,6.25,102,0,0.0008,Low,At-Risk Spenders
U00276,18,1,38.77,18,13,4,0.75,7.21,66,0,0.0005,Low,Casual Browsers
U00277,2,55,7779.73,185,34,96,0.4270833333333333,8.35,4,0,0.0002,Low,High-Value Loyalists
U00278,14,3,87.25,27,21,3,0.0,9.02,107,0,0.0009,Low,At-Risk Spenders
U00279,10,0,0.0,5,5,0,1.0,4.46,40,0,0.0002,Low,Casual Browsers
U00280,5,0,0.0,12,12,0,1.0,11.02,35,0,0.0002,Low,Casual Browsers
U00281,1,0,0.0,8,7,1,1.0,1.83,31,0,0.0002,Low,Casual Browsers
U00282,21,52,7154.62,185,29,104,0.5,7.91,22,0,0.0002,Low,High-Value Loyalists
U00283,19,0,0.0,13,13,0,1.0,7.7,49,0,0.0002,Low,Casual Browsers
U00284,107,0,0.0,6,4,2,1.0,3.65,137,1,0.9998,High,Churned
U00285,16,58,8295.95,194,26,110,0.4727272727272728,7.46,16,0,0.0002,Low,High-Value Loyalists
U00286,52,0,0.0,14,14,0,1.0,14.03,82,1,0.9998,High,Churned
U00287,5,12,619.99,56,28,16,0.25,9.36,22,0,0.0002,Low,At-Risk Spenders
