user_id,recency_days,frequency,monetary_value,churn_probability,segment
U00280,13.0,4,167.39,,
U00281,19.0,6,520.02,,
U00282,5.0,56,9347.26,,
U00283,19.0,7,337.96,,
U00284,25.0,13,699.58,,
U00285,19.0,7,494.47,,
U00286,8.0,2,79.41,,
U00287,5.0,0,0.0,,
U00288,0.0,0,0.0,,
U00289,17.0,34,5310.2,,
U00290,0.0,38,4563.03,,
U00291,0.0,5,296.68,,
U00292,24.0,0,0.0,,
U00293,71.0,8,691.15,,
U00294,0.0,0,0.0,,
U00295,13.0,8,536.33,,
U00296,14.0,8,497.69,,
U00297,74.0,0,0.0,,
U00298,28.0,1,33.32,,
U00299,114.0,0,0.0,,
U00300,12.0,1,36.23,,
U00301,85.0,7,376.76,,
U00302,2.0,8,435.59,,
U00303,2.0,9,581.66,,
U00304,22.0,10,662.84,,
U00305,16.0,0,0.0,,
U00306,3.0,0,0.0,,
U00307,1.0,0,0.0,,
U00308,19.0,18,1272.49,,
U00309,113.0,10,594.17,,
U00310,14.0,11,555.28,,
U00311,27.0,0,0.0,,
U00312,5.0,16,922.09,,
U00313,28.0,22,4078.43,,
U00314,114.0,1,46.73,,
U00315,16.0,0,0.0,,
U00316,57.0,1,16.2,,
U00317,10.0,1,20.95,,
U00318,109.0,12,1076.75,,
U00319,10.0,12,698.9,,
U00320,6.0,1,52.63,,
U00321,3.0,0,0.0,,
U00322,79.0,10,789.37,,
U00323,7.0,0,0.0,,
U00324,105.0,1,61.0,,
U00325,2.0,0,0.0,,
U00326,111.0,2,159.44,,
U00327,2.0,3,76.67,,
U00328,53.0,53,6786.0,,
U00329,0.0,16,814.46,,
U00330,11.0,16,1160.03,,
U00331,70.0,1,16.19,,
U00332,91.0,0,0.0,,
U00333,12.0,10,731.52,,
U00334,17.0,0,0.0,,
U00335,53.0,0,0.0,,
U00336,5.0,0,0.0,,
U00337,18.0,10,397.62,,
U00338,26.0,13,762.83,,
U00339,27.0,0,0.0,,
U00340,27.0,0,0.0,,
U00341,75.0,0,0.0,,
U00342,21.0,0,0.0,,
U00343,86.0,0,0.0,,
U00344,23.0,0,0.0,,
U00345,13.0,14,737.59,,
U00346,18.0,8,499.15,,
U00347,22.0,15,806.77,,
U00348,18.0,0,0.0,,
U00349,19.0,5,201.34,,
U00350,13.0,3,101.94,,
U00351,4.0,17,2566.08,,
U00352,60.0,2,49.62,,
U00353,21.0,0,0.0,,
U00354,25.0,0,0.0,,
U00355,2.0,0,0.0,,
U00356,21.0,1,35.04,,
U00357,7.0,18,1086.86,,
U00358,8.0,51,7032.56,,
U00359,2.0,26,4119.03,,
U00360,51.0,0,0.0,,
U00361,8.0,2,52.21,,
U00362,25.0,2,66.74,,
U00363,18.0,33,4870.47,,
U00364,79.0,0,0.0,,
U00365,28.0,0,0.0,,
U00366,37.0,32,5073.33,,
U00367,21.0,28,4426.33,,
U00368,29.0,0,0.0,,
U00369,14.0,0,0.0,,
U00370,50.0,0,0.0,,
U00371,18.0,2,53.51,,
U00372,10.0,30,3633.38,,
U00373,2.0,40,4744.77,,
U00374,45.0,0,0.0,,
U00375,25.0,2,28.38,,
U00376,0.0,0,0.0,,
U00377,27.0,1,22.83,,
U00378,32.0,3,119.8,,
U00379,24.0,25,3863.69,,
U00380,21.0,0,0.0,,
U00381,6.0,15,688.36,,
U00382,8.0,0,0.0,,
U00383,20.0,1,9.85,,
U00384,3.0,18,1013.0,,
U00385,17.0,0,0.0,,
U00386,22.0,9,643.0,,
U00387,19.0,11,636.84,,
U00388,4.0,27,3229.54,,
U00389,1.0,0,0.0,,
U00390,37.0,3,160.52,,
U00391,25.0,10,591.85,,
U00392,17.0,0,0.0,,
U00393,12.0,13,954.17,,
U00394,47.0,13,811.23,,
U00395,12.0,6,287.68,,
U00396,19.0,1,10.01,,
U00397,29.0,4,158.09,,
U00398,18.0,0,0.0,,
U00399,26.0,0,0.0,,
U00400,23.0,5,234.53,,
U00401,28.0,1,23.71,,
U00402,110.0,16,1197.74,,
U00403,4.0,6,343.69,,
U00404,0.0,8,423.93,,
U00405,10.0,1,10.86,,
U00406,8.0,0,0.0,,
U00407,1.0,0,0.0,,
U00408,10.0,11,673.16,,
U00409,6.0,2,79.55,,
U00410,23.0,1,27.31,,
U00411,18.0,2,56.02,,
U00412,19.0,3,78.36,,
U00413,4.0,5,265.3,,
U00414,1.0,3,78.26,,
U00415,24.0,44,5960.1,,
U00416,24.0,27,3907.38,,
U00417,29.0,4,310.34,,
U00418,1.0,0,0.0,,
U00419,13.0,46,6581.17,,
U00420,23.0,56,7461.54,,
U00421,27.0,2,74.5,,
U00422,3.0,5,239.59,,
U00423,10.0,1,24.62,,
U00424,86.0,0,0.0,,
U00425,9.0,0,0.0,,
U00426,11.0,6,605.5,,
U00427,22.0,0,0.0,,
U00428,13.0,15,1005.42,,
U00429,4.0,6,237.21,,
U00430,5.0,1,18.26,,
U00431,25.0,3,71.77,,
U00432,20.0,0,0.0,,
U00433,8.0,3,154.37,,
U00434,15.0,0,0.0,,
U00435,29.0,36,5458.44,,
U00436,14.0,14,1058.58,,
U00437,2.0,8,457.68,,
U00438,20.0,2,56.01,,
U00439,2.0,1,40.92,,
U00440,0.0,49,7491.7,,
U00441,20.0,6,280.51,,
U00442,20.0,0,0.0,,
U00443,17.0,53,7473.22,,
U00444,16.0,0,0.0,,
U00445,26.0,0,0.0,,
U00446,7.0,1,26.38,,
U00447,10.0,1,24.75,,
U00448,2.0,0,0.0,,
U00449,12.0,42,5901.57,,
U00450,16.0,2,91.91,,
U00451,36.0,3,78.11,,
U00452,2.0,2,52.37,,
U00453,19.0,11,821.36,,
U00454,1.0,0,0.0,,
U00455,20.0,1,34.94,,
U00456,39.0,0,0.0,,
U00457,10.0,0,0.0,,
U00458,22.0,6,328.47,,
U00459,19.0,0,0.0,,
U00460,12.0,9,600.63,,
U00461,14.0,10,556.11,,
U00462,27.0,0,0.0,,
U00463,29.0,11,786.29,,
U00464,7.0,4,173.8,,
U00465,29.0,1,10.77,,
U00466,6.0,0,0.0,,
U00467,9.0,7,681.3,,
U00468,5.0,2,27.07,,
U00469,108.0,9,849.69,,
U00470,8.0,0,0.0,,
U00471,55.0,0,0.0,,
U00472,11.0,19,3996.05,,
U00473,7.0,1,41.65,,
U00474,10.0,0,0.0,,
U00475,9.0,3,61.88,,
U00476,25.0,37,5544.07,,
U00477,2.0,11,478.4,,
U00478,8.0,15,1083.62,,
U00479,27.0,2,26.01,,
U00480,23.0,0,0.0,,
U00481,17.0,4,209.23,,
U00482,2.0,2,194.56,,
U00483,18.0,0,0.0,,
U00484,24.0,0,0.0,,
U00485,23.0,8,387.65,,
U00486,20.0,2,47.23,,
U00487,17.0,0,0.0,,
U00488,9.0,0,0.0,,
U00489,27.0,0,0.0,,
U00490,0.0,0,0.0,,
U00491,10.0,0,0.0,,
U00492,3.0,2,33.03,,
U00493,12.0,10,732.89,,
U00494,40.0,0,0.0,,
U00495,22.0,1,61.13,,
U00496,117.0,2,50.65,,
U00497,0.0,0,0.0,,
U00498,25.0,10,762.99,,
U00499,3.0,13,976.15,,
U00500,1.0,8,625.96,,
