user_id,merchant_id,recency_days,frequency,monetary_value,session_failures,payment_friction_index,active_support_tickets,is_deleted,churned
6067-NGCEU,1,15,195,111.05,4,0.3950858235989275,0,False,0
9848-JQJTX,1,2,216,100.9,2,0.19489275649495538,0,False,0
8637-XJIVR,1,43,36,78.95,8,0.48214124464310804,0,False,1
9803-FTJCG,1,20,284,66.85,1,0.3211818908953946,1,False,0
0278-YXOOG,1,77,10,21.05,5,0.1834250136368925,0,True,1
3212-KXOCR,1,12,104,21.0,2,0.3883110784200272,0,False,0
4598-XLKNJ,1,37,50,98.5,7,0.7462163545449225,0,False,1
6380-ARCEH,1,23,2,20.2,2,0.37792131850760613,0,False,0
3679-XASPY,1,22,2,19.45,0,0.709817994613665,0,False,0
7123-WQUHX,1,8,152,95.0,0,0.284696445224908,2,False,0
5386-THSLQ,1,5,264,45.55,5,0.307635594870589,0,False,0
3192-NQECA,1,69,272,110.0,8,0.12827384733180833,2,True,1
6180-YBIQI,1,1,20,24.3,4,0.3289150479186067,0,False,0
6728-DKUCO,1,1,288,104.15,2,0.5808664581353105,0,False,0
9750-BOOHV,1,25,128,30.15,2,0.3520978179113149,0,False,0
8597-CWYHH,1,10,172,94.35,5,0.3884595461833005,0,False,0
2848-YXSMW,1,22,144,19.4,2,0.16371328874964203,0,False,0
0486-HECZI,1,82,165,96.75,8,0.6099643768117603,0,False,1
4549-ZDQYY,1,21,208,57.95,2,0.24516704178036697,2,False,0
5712-AHQNN,1,15,129,91.65,3,0.6498252070221371,0,False,0
4846-WHAFZ,1,54,148,76.5,11,0.7546973735874862,0,True,1
5256-SKJGO,1,22,256,54.6,2,0.6284550360031985,1,False,0
3071-VBYPO,1,6,6,89.85,6,0.6739730917975622,0,False,0
9560-BBZXK,1,3,108,31.05,6,0.15249650577854582,0,False,0
5299-RULOA,1,74,20,100.25,7,0.6682800115767352,0,False,1
8402-OOOHJ,1,16,82,20.65,0,0.28170379476929497,0,False,0
9445-ZUEQE,1,8,81,85.2,2,0.14602951712790796,1,False,0
1091-SOZGA,1,15,112,99.8,4,0.2243281211915643,0,False,0
2928-HLDBA,1,17,24,20.7,2,0.3557589157928642,0,False,0
0404-SWRVG,1,30,12,74.4,9,0.8154921013593325,0,False,1
6497-TILVL,1,22,28,50.7,4,0.29962905327320555,0,False,0
7219-TLZHO,1,26,16,20.85,2,0.3765823125958734,0,False,0
4622-YNKIJ,1,13,132,88.95,1,0.5966382003736648,1,False,0
4412-YLTKF,1,53,54,78.05,10,0.8220100692252813,0,True,1
6734-PSBAW,1,6,144,23.55,1,0.11005194975421405,0,False,0
3930-ZGWVE,1,17,4,19.75,0,0.25817778204133046,0,False,0
2639-UGMAZ,1,16,284,56.45,4,0.5879116457518049,0,False,0
2876-GZYZC,1,14,26,85.95,4,0.6549313207809897,0,False,0
6207-WIOLX,1,40,75,58.6,9,0.16526308962925323,0,True,1
8587-XYZSF,1,6,134,50.55,0,0.10345901101994165,2,False,0
3091-FYHKI,1,46,2,35.45,9,0.5589476084702496,0,False,1
2372-HWUHI,1,37,4,44.35,12,0.5553785700492934,0,True,1
7799-LGRDP,1,14,86,25.7,0,0.18702777075632473,0,False,0
7850-VWJUU,1,15,46,75.0,4,0.2931243075000095,0,False,0
3774-VBNXY,1,8,192,20.2,0,0.1884109529849698,0,False,0
6217-KDYWC,1,29,228,19.6,0,0.17373796819636983,0,False,0
0390-DCFDQ,1,34,4,70.45,10,0.14664869892110188,0,True,1
3146-MSEGF,1,22,216,88.05,0,0.14055168222535552,2,False,0
4080-OGPJL,1,68,32,71.15,7,0.6771026048612954,2,False,1
1095-WGNGG,1,27,244,101.05,4,0.3044521068830415,0,False,0
2636-SJDOU,1,13,256,84.3,6,0.2358199617206907,0,False,0
1131-QQZEB,1,17,213,23.95,1,0.13708092971435515,0,False,0
5716-EZXZN,1,21,195,99.05,0,0.29432688985645794,1,False,0
6837-BJYDQ,1,24,12,19.6,1,0.26713656949649145,0,False,0
2135-RXIHG,1,37,4,45.65,9,0.6793071915309021,0,True,1
6440-DKQGE,1,28,120,64.5,2,0.19901406313780406,0,False,0
3466-BYAVD,1,6,30,69.5,2,0.15494586734504262,2,False,0
3780-YVMFA,1,5,16,68.55,1,0.6354107612841668,2,False,0
3874-EQOEP,1,77,14,95.0,12,0.20163150834060983,0,True,1
1679-JRFBR,1,26,210,108.15,5,0.11248933723103659,0,False,0
9073-ZZIAY,1,17,248,86.1,2,0.5894807024116674,1,False,0
3077-RSNTJ,1,23,18,19.7,1,0.2804721787854808,0,False,0
6551-GNYDG,1,25,42,80.9,4,0.3824962825878673,0,False,0
9167-APMXZ,1,2,66,84.15,4,0.28774844298332114,0,False,0
2749-CTKAJ,1,26,88,20.15,1,0.28722281405676997,0,False,0
6371-NZYEG,1,15,32,64.25,2,0.21232444168108172,0,False,0
7554-NEWDD,1,5,40,25.7,2,0.13999514688431527,0,False,0
8992-VONJD,1,26,52,56.0,4,0.5389072307204447,0,False,0
0867-MKZVY,1,64,60,82.4,8,0.7048396201360199,0,True,1
4482-EWFMI,1,6,6,69.7,4,0.7762176261633664,0,False,0
4648-YPBTM,1,6,159,73.9,1,0.3478260321686293,1,False,0
2907-ILJBN,1,27,22,20.6,1,0.17677842762043647,0,False,0
6345-FZOQH,1,18,138,19.9,0,0.17236602256836625,0,False,0
3376-BMGFE,1,43,8,70.9,11,0.26958995893135546,0,True,1
5997-OPVFA,1,4,288,89.05,1,0.26980455494032884,2,False,0
3445-HXXGF,1,30,174,45.3,13,0.5081378879847951,0,False,1
1159-WFSGR,1,25,64,20.4,0,0.6138576956225754,0,False,0
7654-YWJUF,1,14,86,84.25,0,0.2037636549923185,2,False,0
1875-QIVME,1,84,6,104.4,7,0.7553426134096095,2,False,1
6727-IOTLZ,1,13,28,81.95,0,0.18731341410166052,1,False,0
0691-JVSYA,1,68,159,94.85,9,0.27768753762147297,0,True,1
5918-VUKWP,1,12,96,20.55,0,0.330493012371077,0,False,0
1744-JHKYS,1,23,136,24.7,2,0.7234744687394998,0,False,0
2656-FMOKZ,1,44,60,74.45,8,0.3733204169415272,0,False,1
2070-FNEXE,1,44,14,76.45,8,0.25106162419823574,0,False,1
5947-SGKCL,1,11,60,105.35,4,0.24650472499528545,0,False,0
3712-PKXZA,1,15,244,20.55,1,0.23131000178072467,0,False,0
6317-YPKDH,1,89,4,29.95,10,0.10832517939659153,0,False,1
6582-OIVSP,1,3,3,45.3,3,0.14978634924587853,0,False,0
9367-WXLCH,1,80,32,84.5,8,0.11775672649121674,0,True,1
5524-KHNJP,1,3,66,74.75,2,0.3089065254325963,0,False,0
1918-ZBFQJ,1,68,39,79.25,7,0.5607658060007037,0,False,1
1024-GUALD,1,78,3,24.8,12,0.48743549719828355,0,False,1
4827-USJHP,1,4,80,51.8,4,0.30717252329616107,0,False,0
8167-GJLRN,1,3,9,30.4,0,0.6021442377668383,1,False,0
0956-SYCWG,1,26,26,19.65,2,0.6598326205940803,0,False,0
8017-UVSZU,1,16,80,56.6,4,0.27995023532847074,0,False,0
7100-FQPRV,1,12,129,71.9,1,0.14846186798418523,2,False,0
2472-OVKUP,1,52,24,91.0,10,0.45193715234560194,0,True,1
2984-RGEYA,1,24,276,19.75,2,0.34514229106811123,0,False,0
9680-NIAUV,1,29,216,109.7,2,0.16474269968975983,0,False,0
2146-EGVDT,1,29,118,19.3,2,0.2627587721422549,0,False,0
2604-IJPDU,1,17,60,96.55,2,0.6700067463472217,2,False,0
9178-JHUVJ,1,7,96,24.1,0,0.3763157621309543,0,False,0
6168-YBYNP,1,11,236,111.35,2,0.6511301948039638,2,False,0
7255-SSFBC,1,18,216,112.25,2,0.27400506561614524,1,False,0
3645-DEYGF,1,1,2,20.75,1,0.19585151011474383,0,False,0
9323-HGFWY,1,3,81,101.9,2,0.38760841053059847,1,False,0
8544-GOQSH,1,4,28,80.05,1,0.2837121447217704,2,False,0
3363-DTIVD,1,13,142,105.55,6,0.431525461034004,0,False,0
7018-WBJNK,1,6,39,78.3,5,0.266824679120489,0,False,0
9142-KZXOP,1,26,132,68.85,4,0.2091596164915604,0,False,0
7674-YTAFD,1,14,66,79.95,1,0.10963366128964967,2,False,0
6348-SNFUS,1,5,144,55.45,0,0.22946493565212536,1,False,0
1285-OKIPP,1,74,2,79.9,11,0.7994583532055786,0,True,1
7825-ECJRF,1,86,38,106.6,6,0.6609273013272148,1,False,1
1347-KTTTA,1,15,256,102.45,2,0.2918377258419984,2,False,0
7841-TZDMQ,1,35,6,46.0,8,0.2919224397160951,0,True,1
4195-NZGTA,1,8,2,25.25,5,0.6196427569361653,0,False,0
7157-SMCFK,1,27,183,19.75,2,0.21627885837057265,0,False,0
4709-LKHYG,1,16,58,20.0,0,0.5448194402809878,0,False,0
2504-DSHIH,1,28,69,86.8,2,0.5036688982728037,0,False,0
0699-NDKJM,1,16,171,58.75,5,0.14626673815867633,0,False,0
9286-BHDQG,1,4,144,45.25,1,0.3852430638344655,1,False,0
0230-WEQUW,1,13,132,56.6,0,0.352725014736463,1,False,0
2040-LDIWQ,1,26,195,84.2,2,0.1825325312169709,2,False,0
6496-JDSSB,1,28,24,80.0,4,0.220357584677735,0,False,0
9408-SSNVZ,1,57,12,70.15,10,0.8073343051847091,0,False,1
4443-EMBNA,1,2,284,24.75,0,0.17513334386607315,0,False,0
6469-MRVET,1,3,2,20.2,2,0.6088938459322353,0,False,0
0742-MOABM,1,62,16,50.05,7,0.10662393521662138,1,False,1
5961-VUSRV,1,8,48,19.35,1,0.285920450905842,0,False,0
6778-JFCMK,1,24,48,50.6,5,0.3790220794523186,0,False,0
6341-JVQGF,1,15,62,81.15,2,0.3654230154520067,1,False,0
2232-DMLXU,1,86,4,55.2,11,0.25059076618826004,0,True,1
4811-JBUVU,1,9,60,89.9,2,0.2948925916831498,2,False,0
0945-TSONX,1,7,141,85.3,1,0.2709394582039857,2,False,0
2651-ZCBXV,1,13,162,108.0,1,0.12009227324625266,1,False,0
3316-UWXUY,1,2,200,93.5,1,0.14761704606302378,2,False,0
8937-RDTHP,1,68,4,84.6,13,0.389145194430928,0,True,1
7083-MIOPC,1,7,144,20.25,1,0.17679060906150199,0,False,0
1984-GPTEH,1,24,58,25.15,2,0.5809924273819203,0,False,0
1251-KRREG,1,56,8,54.4,8,0.2526832923863522,0,False,1
0621-JFHOL,1,19,40,29.6,2,0.39373963881800245,2,False,0
9903-LYSAB,1,7,54,73.15,5,0.7969295890108807,0,False,0
0094-OIFMO,1,62,33,95.0,8,0.6725520137006797,0,True,1
9227-UAQFT,1,29,32,19.75,0,0.25731999173225784,0,False,0
7301-ABVAD,1,25,216,86.6,0,0.31020232437836714,2,False,0
6614-FHDBO,1,16,144,109.2,1,0.299204767158504,1,False,0
7576-ASEJU,1,3,82,74.7,2,0.3708522676782947,1,False,0
9058-HRZSV,1,10,130,94.4,5,0.7310885258961206,0,False,0
4522-AKYLR,1,6,39,54.8,5,0.5800789072636398,0,False,0
0221-WMXNQ,1,18,16,75.35,3,0.7365814221684179,0,False,0
0303-UNCIP,1,18,164,65.0,5,0.3399350004060455,0,False,0
9947-OTFQU,1,61,45,74.4,12,0.6503221607937641,0,False,1
0322-YINQP,1,53,4,48.55,8,0.17103759935693671,0,True,1
0959-WHOKV,1,29,84,99.0,3,0.6925581258471072,0,False,0
4075-JFPGR,1,7,204,93.5,3,0.6069836956708967,0,False,0
4629-NRXKX,1,78,6,70.4,11,0.6053403361859578,0,False,1
9514-JDSKI,1,78,4,40.2,9,0.6858743839550308,0,False,1
3282-ZISZV,1,11,64,83.7,2,0.24432130686920608,2,False,0
3675-YDUPJ,1,13,20,19.85,2,0.32300698215869683,0,False,0
4111-BNXIF,1,23,201,59.55,2,0.7322070319394827,1,False,0
7017-VFHAY,1,5,183,115.1,1,0.19443540398759956,1,False,0
6655-LHBYW,1,6,150,114.35,2,0.12880030131831297,2,False,0
4959-JOSRX,1,32,4,44.6,10,0.3784784561612774,0,True,1
5046-NUHWD,1,26,116,45.0,6,0.8202739636833115,0,False,0
7273-TEFQD,1,66,12,41.15,10,0.8060692945231699,0,True,1
3606-TWKGI,1,78,39,106.9,10,0.8006576277990924,0,True,1
7529-ZDFXI,1,12,228,89.85,5,0.5983294876257309,0,False,0
7605-BDWDC,1,4,124,49.85,1,0.3692190358367351,2,False,0
1950-KSVVJ,1,29,135,113.3,2,0.33751045383911504,2,False,0
0123-CRBRT,1,23,183,88.1,2,0.3448032525473388,1,False,0
6292-TOSSS,1,6,100,24.9,0,0.19286514189983994,0,False,0
3197-ARFOY,1,10,38,105.0,1,0.2270374820207195,1,False,0
6323-AYBRX,1,57,118,19.35,5,0.3120406792369776,0,False,1
7014-ZZXAW,1,15,142,24.25,1,0.21131869096232617,0,False,0
4385-GZQXV,1,52,64,94.45,5,0.6455084408120986,1,True,1
7633-MVPUY,1,26,228,59.75,1,0.688761192008753,1,False,0
6366-ZGQGL,1,61,2,24.8,10,0.23132752047528435,0,False,1
4716-HHKQH,1,5,40,107.05,1,0.6906581137569408,1,False,0
5940-AHUHD,1,30,3,70.6,10,0.1348836516653545,0,False,1
6432-TWQLB,1,48,20,85.4,3,0.7878910538836813,2,True,1
4484-GLZOU,1,31,208,105.05,9,0.6069188392682902,0,False,1
3179-GBRWV,1,16,42,64.95,3,0.38135189647855783,0,False,0
8645-KWHJO,1,24,56,55.0,2,0.5320695112056479,2,False,0
4130-MZLCC,1,27,15,50.55,6,0.33862970831184136,0,False,0
0314-TKOSI,1,3,18,55.15,5,0.25642509343260284,0,False,0
8229-MYEJZ,1,10,40,51.2,4,0.5280333071273695,0,False,0
2080-SRCDE,1,11,2,25.4,2,0.27477605631732993,0,False,0
9577-WJVCQ,1,11,272,54.45,3,0.373653321064771,0,False,0
9512-UIBFX,1,33,54,95.15,9,0.1471703213313712,0,True,1
6202-DYYFX,1,4,44,76.0,2,0.19639208480824955,0,False,0
3808-HFKDE,1,4,80,44.35,6,0.7310834514636808,0,False,0
5583-SXDAG,1,85,2,70.0,9,0.6712967750052125,0,False,1
3488-PGMQJ,1,88,16,74.5,7,0.8173839872980553,0,True,1
3580-REOAC,1,46,30,44.85,6,0.21325007944253968,0,True,1
7534-BFESC,1,67,48,76.1,8,0.608957092604092,0,False,1
3727-OWVYD,1,22,140,61.2,4,0.1671750293110198,0,False,0
2294-SALNE,1,24,46,86.8,1,0.1659117812444945,1,False,0
4847-TAJYI,1,6,12,89.35,4,0.622782057447103,0,False,0
1563-IWQEX,1,3,48,19.7,2,0.23044367905801702,0,False,0
8203-XJZRC,1,22,3,20.25,0,0.2598574606870162,0,False,0
6556-DBKZF,1,1,213,76.05,4,0.5379234566628798,0,False,0
6851-WEFYX,1,20,140,100.8,3,0.719343266650201,0,False,0
2985-JUUBZ,1,22,160,74.55,5,0.7056433778018545,0,False,0
6390-DSAZX,1,45,3,73.6,9,0.14716297702492961,0,False,1
0895-LMRSF,1,23,46,64.9,6,0.12018799375089664,0,False,0
8098-LLAZX,1,38,16,95.45,11,0.5743211452036578,0,False,1
8266-VBFQL,1,13,8,90.4,0,0.549296153990905,1,False,0
8181-YHCMF,1,27,272,60.3,2,0.2497876443912937,1,False,0
2240-HSJQD,1,10,114,81.85,5,0.3580718608008996,0,False,0
1248-DYXUB,1,3,104,24.8,2,0.3708896280672711,0,False,0
0265-EDXBD,1,58,64,74.9,10,0.8212602539554243,0,True,1
4115-BNPJY,1,28,116,75.55,0,0.19856904043621712,1,False,0
3167-SNQPL,1,12,76,101.15,4,0.6852214374301533,0,False,0
4091-TVOCN,1,23,192,78.75,3,0.39623750354649934,0,False,0
1098-TDVUQ,1,14,3,19.25,1,0.3043841889962377,0,False,0
7277-OZCGZ,1,1,44,89.05,2,0.6481075925492521,1,False,0
1557-EMYVT,1,18,172,115.05,1,0.19872404569744107,1,False,0
2799-ARNLO,1,17,10,69.35,2,0.5343982098871352,0,False,0
7563-BIUPC,1,32,20,80.6,7,0.7725400142070475,0,True,1
5027-YOCXN,1,9,204,110.05,0,0.3693937479915037,1,False,0
3973-SKMLN,1,9,284,19.9,0,0.15949213590892278,0,False,0
2321-OMBXY,1,61,114,80.3,8,0.1253210193053388,2,True,1
2840-XANRC,1,36,48,93.15,8,0.6278348450649731,0,True,1
6745-JEFZB,1,19,105,91.5,2,0.17363664478317298,2,False,0
5020-ZSTTY,1,70,216,82.45,4,0.27280980203173105,2,True,1
9880-TDQAC,1,15,288,60.0,2,0.7041223273683856,1,False,0
8705-WZCYL,1,5,3,44.8,6,0.6148585478009072,0,False,0
7102-JJVTX,1,15,27,48.6,3,0.3056353866585966,0,False,0
8626-PTQGE,1,20,138,60.05,1,0.202944176457342,2,False,0
4983-CLMLV,1,23,208,102.7,1,0.29049044189987866,2,False,0
5701-YVSVF,1,25,33,82.9,1,0.6693983394508469,1,False,0
5804-LEPIM,1,40,8,70.35,11,0.5398570511933619,0,False,1
5697-GOMBF,1,2,112,35.9,3,0.6708097708160952,0,False,0
2739-CACDQ,1,13,34,82.65,4,0.21428652871709677,0,False,0
9385-EHGDO,1,24,70,19.85,0,0.20093648330819958,0,False,0
9498-FIMXL,1,16,16,19.2,0,0.1867863241199478,0,False,0
2379-GYFLQ,1,15,138,94.9,2,0.2036935780402867,0,False,0
0122-OAHPZ,1,60,28,73.85,9,0.7849110054251771,0,True,1
2868-SNELZ,1,59,6,80.6,8,0.17355364425175518,0,False,1
4322-RCYMT,1,71,204,75.8,7,0.304596221543893,2,False,1
6680-NENYN,1,64,86,104.6,12,0.6961052692551786,0,False,1
2088-IEBAU,1,25,272,88.15,0,0.5880614324997451,2,False,0
7982-VCELR,1,14,144,94.8,4,0.10885361934847013,0,False,0
1343-EHPYB,1,45,126,103.4,12,0.523668934630408,0,True,1
6035-BXTTY,1,23,128,54.65,2,0.14185086650509132,2,False,0
6885-PKOAM,1,9,142,85.75,0,0.13301345292959968,1,False,0
7520-HQWJU,1,25,198,67.45,5,0.32442557496143,0,False,0
9639-BUJXT,1,14,189,20.5,1,0.1884552150722118,0,False,0
5924-SNGKP,1,3,82,20.25,1,0.2957529320802053,0,False,0
0021-IKXGC,1,20,3,72.1,3,0.5954255799579932,0,False,0
2034-GDRCN,1,31,6,90.4,8,0.5559222096241205,0,False,1
8966-SNIZF,1,2,140,19.45,0,0.17024387040318417,0,False,0
6243-OZGFH,1,10,69,44.95,3,0.5125082542493328,0,False,0
4654-DLAMQ,1,3,256,97.0,2,0.15721533074013985,0,False,0
0513-RBGPE,1,11,111,62.8,2,0.285374806330696,1,False,0
5160-UXJED,1,11,34,44.6,5,0.2988018608970001,0,False,0
4115-NZRKS,1,21,28,89.15,5,0.4544060644506476,0,False,0
0219-YTZUE,1,88,16,84.8,8,0.32234379538442737,0,True,1
0623-IIHUG,1,84,63,41.9,8,0.48621155260050536,0,False,1
4572-DVCGN,1,38,40,80.25,7,0.18487675074986964,0,False,1
3351-NGXYI,1,7,32,54.1,3,0.7152396661925787,0,False,0
8984-EYLLL,1,23,256,105.25,2,0.8570507676034196,2,False,0
9057-MSWCO,1,48,81,30.75,7,0.347426894040527,0,True,1
9833-TGFHX,1,2,126,97.1,2,0.5114149763714919,0,False,0
9294-TDIPC,1,12,20,20.2,2,0.3997802905289559,0,False,0
5229-DTFYB,1,25,82,98.8,2,0.3016466244347105,2,False,0
0104-PPXDV,1,10,116,50.3,4,0.2532005864622112,0,False,0
5176-LMJXE,1,18,141,20.55,1,0.3864524223260307,0,False,0
3583-KRKMD,1,22,54,75.9,1,0.3452141186279781,1,False,0
1010-DIAUQ,1,85,10,96.5,10,0.307522911888621,0,True,1
9069-LGEUL,1,11,92,59.95,3,0.35151917454464,0,False,0
7302-ZHMHP,1,16,4,19.15,0,0.21563997498337786,0,False,0
9571-EDEBV,1,17,284,98.65,5,0.3053315336320641,0,False,0
3520-FJGCV,1,19,288,112.6,1,0.1571740056189304,2,False,0
6563-VRERX,1,18,66,20.6,1,0.39640019058013065,0,False,0
0259-GBZSH,1,37,6,85.65,7,0.6368209469489144,0,True,1
6122-EFVKN,1,21,72,35.75,0,0.3442711742305923,2,False,0
2805-EDJPQ,1,27,224,99.75,2,0.2222019641593102,2,False,0
6862-CQUMB,1,26,74,96.1,4,0.3275766457825543,0,False,0
7156-MXBJE,1,16,86,85.1,2,0.21621546984080817,2,False,0
6158-HDPXZ,1,6,4,25.35,5,0.27700152608817485,0,False,0
9601-BRXPO,1,77,100,104.95,7,0.3334404447058937,1,False,1
2863-IMQDR,1,12,244,89.65,0,0.5603613961930157,2,False,0
5686-CMAWK,1,11,51,86.75,2,0.516121478662499,1,False,0
5651-CRHKQ,1,15,164,86.2,0,0.2634810846928291,2,False,0
6905-NIQIN,1,58,3,50.65,7,0.2001993118264508,0,True,1
8204-YJCLA,1,16,144,64.8,2,0.19275017042669765,1,False,0
5167-ZFFMM,1,75,2,90.85,12,0.18449922687481368,0,False,1
6583-SZVGP,1,12,144,108.1,4,0.16833754654280847,0,False,0
